city,locality,hospital_km,school_km,mall_km,station_km,accessibility_score,accessibility_available
Mumbai,Goregaon East,0.35321717764539,0.5439759636589009,0.4256305868203393,0.3715534162452644,9.31,1
Mumbai,Powai,0.3666167410467933,0.1452459925836258,0.2319534236805407,2.3164263519828605,8.8,1
Mumbai,Mira Road,0.0,0.4913627799316527,0.3328707334741506,0.3004106099883282,9.59,1
Bangalore,Jakkur,1.432061101139504,0.4337927815670417,1.98635148754938,3.367988899183026,7.36,1
New Delhi,Chittaranjan Park,0.3331141050417082,0.1113995090699318,1.999377893888268,0.9308260621154144,9.1,1
New Delhi,Soami Nagar South,0.9356941238916172,0.144019460670723,1.2878620798407592,0.3242727207027984,9.05,1
Bangalore,Indira Nagar,0.4497765300568084,0.0557639322031588,2.0259516039171097,0.5937326676751667,9.18,1
Bangalore,Whitefield,0.1704819617390832,0.1563067297755952,2.528221262419863,0.0,9.44,1
Mumbai,Bandra East,0.3537015729833266,0.132265539120177,0.908773870091358,0.523473673114576,9.39,1
Mumbai,Jogeshwari Vikhroli Link Road,0.04785149683274,0.8178215290946956,2.875608342717038,0.5967812188907878,8.91,1
New Delhi,Jyoti Nagar East,0.3514950317512518,0.2198506510305381,0.5074700586797471,0.7904447118307211,9.31,1
New Delhi,Madanpur Khadar Village,0.4731735886372921,0.3447997877477552,1.9908699741107072,0.738340545660362,8.88,0
Bangalore,C V Raman Nagar,0.8500916316478097,0.1223458523622451,0.8659986981376396,1.2660926746386223,8.82,1
Bangalore,Balagere,1.7103394245180557,0.7560722395643005,1.926591298914078,4.146220381040886,6.75,1
Mumbai,Wadala West,0.2408340640442167,0.4298765532260596,1.2079963317886984,0.4911174675273269,9.22,0
Bangalore,MedaHalli,1.0953408142810437,0.6415717402508438,4.301166451997306,4.24168345333544,6.79,1
Bangalore,Harsha Layout,9.271884569872054,9.172762252546066,14.205775512642884,11.238922425449603,0.0,1
Bangalore,Frazer Town,0.1092782628730101,0.176168768376134,1.6940496854280398,0.6425769753949809,9.35,1
Bangalore,Budigere,10.615680155267086,10.805338711799312,11.790310815599495,15.951285122443217,0.0,1
New Delhi,Chhattarpur,0.4286893791667134,0.1593170032060808,4.340474672090711,0.8474213789262682,8.69,1
Mumbai,Dindoshi - Malad East,0.2272790928691292,0.3116547859988635,0.5720159708343504,0.8589249576253312,9.3,1
Bangalore,Kasavanahalli,0.3400513860209599,0.2595038553948253,1.905358202030276,3.559602210911644,8.05,1
Bangalore,Marathahalli,0.1901132738847156,0.2232895271804488,0.1610358273600157,3.06017276985153,8.6,1
Bangalore,Hebbal,0.4043546327447866,0.6642572472791183,1.217993810709595,0.7787706830077218,8.95,1
Mumbai,Bandra West,0.3501910521378273,0.2071163852280848,2.2265436909111185,1.110702710161856,8.94,1
New Delhi,Mahipalpur,1.539127459550745,1.5907793739109266,2.698193260852362,0.9118395287741126,7.53,1
Bangalore,Sahakara Nagar,0.7868942863346207,0.3418140696226816,1.4760893906675177,2.2801353376655444,8.28,1
New Delhi,Pitampura,0.1303120811754022,0.3447997877477552,0.0189558415326565,1.0674102308586475,9.35,1
Mumbai,Borivali East,0.2992280104752015,0.505481356668402,0.6055176221870302,0.2544637542927401,9.38,1
Bangalore,Hennur,0.0449268829158821,0.1488654026203385,2.3862629012696104,3.6424883780840656,8.17,1
Mumbai,Andheri West,0.1129197300973566,0.4829356623723065,1.4591613594684265,1.1416867987833448,9.04,1
Mumbai,Kalbadevi,0.5092702030207119,0.5710031012900295,0.6089793216389424,0.3349332628486512,9.19,1
Bangalore,Electronic City,2.397699995728471,1.1237423655694403,5.249130907161924,1.980021983833783,6.47,1
Mumbai,Lokhandwala Township Kandivali East,0.2408340640442167,0.4298765532260596,1.2079963317886984,0.4911174675273269,9.22,0
Bangalore,Hulimavu,0.7976727307631968,0.0268069325150571,0.7998381998516205,4.107941236794239,7.85,1
New Delhi,Freedom Fighters Enclave,0.2749793156746323,0.3686745329348486,2.798347530881149,1.253881453254882,8.76,1
Bangalore,Sarjapur Road,0.3599124015497667,0.5763155133943472,2.335939623841317,2.5112438650184283,8.2,1
Bangalore,Begur Road,0.1333041045966954,0.0746376832989718,1.9263956709243315,0.5357829376895618,9.39,1
Mumbai,Mulund East,0.1536131789981267,0.3564752630778612,1.5155192493627738,0.4927141162401404,9.32,1
Bangalore,Neeladri Nagar,3.192956830311065,1.8812590657972617,6.05380683927226,2.715483842503758,5.22,1
Mumbai,Deonar Chembur,0.3587244536631363,0.3341805090523022,2.7679902029239347,0.4270182016410299,9.04,1
New Delhi,Commonwealth Games Village,1.5195610036583165,1.11269388948299,3.072967796290872,0.9980880740094586,7.7,1
New Delhi,Block C Dashrath Puri,0.4731735886372921,0.3447997877477552,1.9908699741107072,0.738340545660362,8.88,0
Mumbai,Jogeshwari East,0.2664540754518073,0.9645162899816566,2.3719164639265804,0.003059760183934,9.0,1
Bangalore,Rajarajeshwari Nagar,0.1252577463315813,0.3066921127769993,0.9440930649526106,0.9509242598733392,9.27,1
Bangalore,Hoodi,1.0653428069147843,0.0943112100165539,1.1782098815412991,1.170258423170632,8.7,1
Bangalore,HAL 3rd Stage,0.2627157590387508,0.2293954668217485,1.6277353441602702,1.4225059254303365,8.95,1
New Delhi,Ganesh Nagar,0.6584036020724789,0.3793010257270287,1.3511449045434325,0.9669041430821678,8.85,1
Bangalore,State Highway 104,0.6195807892985611,0.1237851483525492,1.79216063273075,0.2481011787426628,9.2,1
Bangalore,Manyata Tech Park,0.8333923499828897,0.7041712253271469,3.00225323311804,3.8288994759120407,7.26,1
New Delhi,Sector 6 Dwarka,0.2694403843804963,0.2349439062217333,2.0881235898119828,1.6443532188048142,8.79,1
Mumbai,Sion,0.3055258991857691,0.50011995508494,1.523521076622406,0.0,9.34,1
Bangalore,Thanisandra Main Road,0.5192315896537615,0.30546035771091,3.6008147844159133,4.262521268705035,7.4,1
New Delhi,Nawada,0.1877994705803109,0.7269716779270871,2.162073035273952,0.0,9.2,1
Mumbai,Liberty Garden,0.1452287197787224,0.0825802862999746,0.7145116088462935,0.660922507706626,9.52,1
Mumbai,Neelam Nagar,0.329697862351324,0.2408377056536245,1.4156991153941654,0.926662145509212,9.12,1
Mumbai,Napean Sea Road,0.0326294908253264,0.2325273046044415,0.5148836025706006,0.8713619017966916,9.46,1
Bangalore,PNS Layout,0.6030228161208316,0.5413862039745552,0.9434113044077892,2.4925028912631526,8.29,1
Mumbai,Borivali West,0.0,0.3715634164112058,0.7239716127742452,0.6820197865416082,9.45,1
Mumbai,Khar West,0.1030442083718698,0.5264384002095558,2.859958251735819,1.091278734698894,8.84,1
New Delhi,Lok Nayak Puram,0.9406935549972872,3.082099041581478,6.526880319925999,2.3142487994620424,6.05,1
Mumbai,Pali Hill,0.5343343187840629,0.1289890411054263,2.8030486534985246,1.4163501257502595,8.66,1
New Delhi,Mohan Garden Uttam Nagar,0.4731735886372921,0.3447997877477552,1.9908699741107072,0.738340545660362,8.88,0
Mumbai,Malabar Hill,0.4338478599806665,0.4803946907136948,1.246820596591501,1.4318827607533862,8.78,1
New Delhi,Sector 19 Dwarka,1.4414297064396224,0.3863143384989236,1.5482318232821377,1.563685496320664,8.12,1
New Delhi,Chhatarpur Extension,0.6512494807605598,0.2780603862433826,4.707920889750491,0.5278909898737603,8.57,1
Mumbai,New Golden Nest Road,0.0250805748621582,0.2282048764834013,1.733213584711351,1.5139611439016327,9.04,1
New Delhi,Ber Sarai,0.9302968887061492,0.4914925584671659,1.85113082145089,0.450185328107928,8.75,1
Mumbai,JVPD Scheme,0.2274407702429193,0.2442703106297635,2.0086899990074065,1.8996340281995303,8.73,1
New Delhi,Mahendra Park,0.4223904544029411,0.1670646616951041,2.185255363913159,0.5762448360582131,9.12,1
New Delhi,Sagarpur West,0.7340782509504252,0.8297112252618001,3.579886348493732,0.2765521932054801,8.5,1
Bangalore,Block 1st Koramangala,0.1001435349056009,0.0700304780081251,1.63788515212367,2.013687810572566,8.9,1
Bangalore,Sampigehalli,0.6635572120380213,0.1142835821283297,1.602537009066302,4.861698982802734,7.48,1
Mumbai,Vasai East,0.522486059702018,1.3235743000721376,2.291350792142135,1.7830469583254842,8.01,1
Bangalore,Indira nagar Stage 2,0.4497765300568084,0.0557639322031588,2.0259516039171097,0.5937326676751667,9.18,1
New Delhi,Sector 9 Dwarka,1.0807394654876503,0.8649914826633153,2.343781090440934,0.5195976545743222,8.37,1
Mumbai,Chembur,0.1324740122848941,0.2288816404198334,3.016377458817694,0.4573381699036092,9.18,1
New Delhi,Rajouri Garden,0.0,0.701761268201711,0.1991027403650488,0.2298882431439071,9.53,1
Bangalore,Gottigere,0.2313759760325853,0.2086523042223153,2.3009310466206125,4.5150613776006,7.72,1
Bangalore,ITPL,0.5821178358130313,0.5999051594716505,0.2982547911454146,0.3347014922037721,9.18,1
Mumbai,Matunga West,0.072189811774089,0.3659655993003727,0.9970836042228892,0.5556073092979976,9.42,1
New Delhi,Sant Nagar East of Kailash,0.6570071094552099,0.257952475358947,1.3685172021469774,0.5129857741245589,9.08,1
New Delhi,Ashok Vihar,0.4226935052232438,0.3122895517823968,2.0966816034705333,1.3287018215974584,8.78,1
Mumbai,Grant Road East,0.2231368925206568,0.4075347707489975,1.3990855232734216,0.7857029554471229,9.16,1
