city,locality,beds,locality_bed_market_rate
Bangalore,1A Block Koramangala,4,83.0
Bangalore,1st Block East,3,33.0
Bangalore,A Narayanapura,3,71.0
Bangalore,AECS Layout Block A,1,24.0
Bangalore,AECS Layout Block D,1,40.0
Bangalore,AECS Layout-Singasandra,1,17.0
Bangalore,AECS Layout-Singasandra,2,83.0
Bangalore,AK Colony Domlur,2,64.0
Bangalore,AMS Layout,3,18.0
Bangalore,Abbaiah Reddy Layout,3,18.0
Bangalore,Abbigere,1,12.0
Bangalore,Abbigere,2,19.0
Bangalore,Abbigere,3,18.0
Bangalore,Adarsh Palm Retreat,4,67.0
Bangalore,Aditya nagar,1,17.0
Bangalore,Adugodi,1,22.0
Bangalore,Agrahara Layout,4,22.0
Bangalore,Akshya Nagar,2,19.5
Bangalore,Akshya Nagar,3,15.0
Bangalore,Amarjyoti Layout-Domlur,2,44.0
Bangalore,Ambalipura,3,34.0
Bangalore,Ambalipura Sarjapur Road,3,38.0
Bangalore,Amrutahalli,2,26.0
Bangalore,Amruthnagar,2,19.0
Bangalore,Anand Nagar- Hebbal,4,45.0
Bangalore,Anantapura,4,23.0
Bangalore,Anchepalya,1,11.0
Bangalore,Anchepalya,5,39.0
Bangalore,Andrahalli,1,11.0
Bangalore,Anjana Nagar,1,10.0
Bangalore,AnjanaPura,2,29.0
Bangalore,AnjanaPura,3,24.0
Bangalore,Anjanadri Layout,1,29.0
Bangalore,Anjanapura Township,3,19.0
Bangalore,Annapurneshwari Nagar,2,17.0
Bangalore,Annasandrapalya Extension,1,17.0
Bangalore,Arekere,1,20.0
Bangalore,Ashok Nagar,3,87.0
Bangalore,Ashwini layout,1,29.0
Bangalore,Atmananda Colony,3,21.0
Bangalore,Attibele,2,19.0
Bangalore,Attibele,3,23.0
Bangalore,Attibele Anekal Road,3,21.0
Bangalore,Attur Layout,2,21.0
Bangalore,Avalahalli,2,8.0
Bangalore,Avalahalli,3,28.0
Bangalore,Ayappa Nagar KR Puram,1,19.0
Bangalore,B Narayanapura,2,26.0
Bangalore,BCC Layout,2,33.0
Bangalore,BDA Lay Out Chandra Layout,2,20.0
Bangalore,BDA layout-HSR Layout,2,29.0
Bangalore,BEML Layout-Brookefield,3,31.0
Bangalore,BTM Layout,1,27.5
Bangalore,BTM Layout,2,22.0
Bangalore,BTM Layout,4,51.5
Bangalore,BTM Layout Stage 1,1,42.5
Bangalore,BTM Layout Stage 1,2,18.0
Bangalore,BTM Layout Stage 1,4,29.0
Bangalore,BTM Layout Stage 2,1,33.0
Bangalore,BTM Layout Stage 2,2,23.0
Bangalore,BTM Layout Stage 2,3,50.0
Bangalore,Babusahib Palya,2,25.5
Bangalore,Babusahib Palya,4,38.0
Bangalore,Bagalur Main Road,2,35.0
Bangalore,Bagalur Main Road,3,28.5
Bangalore,Bagalur Main Road,10,23.0
Bangalore,Bagalur Sarjapur Road,4,9.0
Bangalore,Bagaluru,2,26.5
Bangalore,Bagaluru,3,26.0
Bangalore,Balagere,2,37.5
Bangalore,Balagere,3,44.5
Bangalore,Balaji Layout,3,24.0
Bangalore,Balaji Layout Cooke Town,4,60.0
Bangalore,Banashankari,1,17.0
Bangalore,Banashankari,2,29.0
Bangalore,Banashankari,3,29.5
Bangalore,Banashankari,4,33.0
Bangalore,Banashankari 6th Stage-11th Block,6,18.0
Bangalore,Banashankari Stage 1,1,26.0
Bangalore,Banashankari Stage 2,1,22.5
Bangalore,Banashankari Stage 3,2,25.0
Bangalore,Banashankari Stage 3,3,24.0
Bangalore,Banashankari stage 6,1,50.0
Bangalore,Banashankari stage 6,2,34.0
Bangalore,Banaswadi,1,11.0
Bangalore,Banaswadi,2,29.0
Bangalore,Banaswadi,3,28.0
Bangalore,Bangalore Shivamogga Road,1,10.0
Bangalore,Bank Colony Konanakunte,3,20.0
Bangalore,Bannerghatta,1,68.0
Bangalore,Bannerghatta,2,19.0
Bangalore,Bannerghatta,3,40.0
Bangalore,Bannerghatta Road,2,30.5
Bangalore,Bannerghatta Road,3,33.0
Bangalore,Bannerghatta Road,5,30.0
Bangalore,Bapuji Nagar,1,16.0
Bangalore,Basapura,1,25.0
Bangalore,Basapura Main Road,3,22.0
Bangalore,Basavanagar Main Road,3,23.0
Bangalore,Basavanagara,1,20.0
Bangalore,Basavanagara,2,14.0
Bangalore,Basavanagudi,1,16.0
Bangalore,Basavanagudi,2,20.0
Bangalore,Basavanapura,3,13.0
Bangalore,Basavanna Nagar,3,41.0
Bangalore,Basaveshwar Nagar,1,17.0
Bangalore,Basaveshwar Nagar,2,19.0
Bangalore,Basaveshwar Nagar,3,25.5
Bangalore,Basaveshwara HBCS Layout,3,15.0
Bangalore,Battarahalli,3,32.0
Bangalore,Begur,1,43.0
Bangalore,Begur,2,45.5
Bangalore,Begur Hulimavu Road,3,22.0
Bangalore,Begur Road,2,46.5
Bangalore,Begur Road,3,36.0
Bangalore,Bellandur,2,40.0
Bangalore,Bellandur,3,35.5
Bangalore,Bellandur,4,68.0
Bangalore,Bellandur,5,47.0
Bangalore,Bellandur Lake Road,3,29.0
Bangalore,Bellandur-Marathahalli,2,31.0
Bangalore,Bellary Road,3,20.0
Bangalore,Bengaluru Kanakapura Road,1,22.0
Bangalore,Bengaluru Main Road,4,17.0
Bangalore,Benson Town,3,40.5
Bangalore,Benson Town,4,68.0
Bangalore,Bettadasanapura,1,13.0
Bangalore,Bhavani Nagar,1,45.0
Bangalore,Bhavani Nagar Shakti Farm,2,14.0
Bangalore,Bhoganhalli,2,39.0
Bangalore,Bhoganhalli,3,57.5
Bangalore,Bhuvaneshwari Nagar,4,42.0
