city,locality,locality_market_rate
Bangalore,1A Block Koramangala,83.0
Bangalore,1st Block East,33.0
Bangalore,A Narayanapura,71.0
Bangalore,AECS Layout Block A,24.0
Bangalore,AECS Layout Block D,40.0
Bangalore,AECS Layout-Singasandra,50.0
Bangalore,AK Colony Domlur,64.0
Bangalore,AMS Layout,18.0
Bangalore,Abbaiah Reddy Layout,18.0
Bangalore,Abbigere,18.0
Bangalore,Adarsh Palm Retreat,67.0
Bangalore,Aditya nagar,17.0
Bangalore,Adugodi,22.0
Bangalore,Agrahara Layout,22.0
Bangalore,Akshya Nagar,19.0
Bangalore,Amarjyoti Layout-Domlur,44.0
Bangalore,Ambalipura,34.0
Bangalore,Ambalipura Sarjapur Road,38.0
Bangalore,Amrutahalli,26.0
Bangalore,Amruthnagar,19.0
Bangalore,Anand Nagar- Hebbal,45.0
Bangalore,Anantapura,23.0
Bangalore,Anchepalya,25.0
Bangalore,Andrahalli,11.0
Bangalore,Anjana Nagar,10.0
Bangalore,AnjanaPura,26.5
Bangalore,Anjanadri Layout,29.0
Bangalore,Anjanapura Township,19.0
Bangalore,Annapurneshwari Nagar,17.0
Bangalore,Annasandrapalya Extension,17.0
Bangalore,Arekere,20.0
Bangalore,Ashok Nagar,87.0
Bangalore,Ashwini layout,29.0
Bangalore,Atmananda Colony,21.0
Bangalore,Attibele,23.0
Bangalore,Attibele Anekal Road,21.0
Bangalore,Attur Layout,21.0
Bangalore,Avalahalli,19.0
Bangalore,Ayappa Nagar KR Puram,19.0
Bangalore,B Narayanapura,26.0
Bangalore,BCC Layout,33.0
Bangalore,BDA Lay Out Chandra Layout,20.0
Bangalore,BDA layout-HSR Layout,29.0
Bangalore,BEML Layout-Brookefield,31.0
Bangalore,BTM Layout,27.5
Bangalore,BTM Layout Stage 1,28.5
Bangalore,BTM Layout Stage 2,28.0
Bangalore,Babusahib Palya,37.0
Bangalore,Bagalur Main Road,30.0
Bangalore,Bagalur Sarjapur Road,9.0
Bangalore,Bagaluru,26.0
Bangalore,Balagere,42.0
Bangalore,Balaji Layout,24.0
Bangalore,Balaji Layout Cooke Town,60.0
Bangalore,Banashankari,28.0
Bangalore,Banashankari 6th Stage-11th Block,18.0
Bangalore,Banashankari Stage 1,26.0
Bangalore,Banashankari Stage 2,22.5
Bangalore,Banashankari Stage 3,24.5
Bangalore,Banashankari stage 6,44.0
Bangalore,Banaswadi,28.0
Bangalore,Bangalore Shivamogga Road,10.0
Bangalore,Bank Colony Konanakunte,20.0
Bangalore,Bannerghatta,37.5
Bangalore,Bannerghatta Road,31.5
Bangalore,Bapuji Nagar,16.0
Bangalore,Basapura,25.0
Bangalore,Basapura Main Road,22.0
Bangalore,Basavanagar Main Road,23.0
Bangalore,Basavanagara,17.0
Bangalore,Basavanagudi,18.0
Bangalore,Basavanapura,13.0
Bangalore,Basavanna Nagar,41.0
Bangalore,Basaveshwar Nagar,22.0
Bangalore,Basaveshwara HBCS Layout,15.0
Bangalore,Battarahalli,32.0
Bangalore,Begur,45.5
Bangalore,Begur Hulimavu Road,22.0
Bangalore,Begur Road,39.0
Bangalore,Bellandur,38.0
Bangalore,Bellandur Lake Road,29.0
Bangalore,Bellandur-Marathahalli,31.0
Bangalore,Bellary Road,20.0
Bangalore,Bengaluru Kanakapura Road,22.0
Bangalore,Bengaluru Main Road,17.0
Bangalore,Benson Town,45.0
Bangalore,Bettadasanapura,13.0
Bangalore,Bhavani Nagar,45.0
Bangalore,Bhavani Nagar Shakti Farm,14.0
Bangalore,Bhoganhalli,51.5
Bangalore,Bhuvaneshwari Nagar,42.0
Bangalore,Bhyraveshwara Nagar,37.0
Bangalore,Bidarahalli,35.0
Bangalore,Bidare Agrahara,26.0
Bangalore,Bikasipura,31.0
Bangalore,Bilekahalli,37.0
Bangalore,Bileshivale,113.0
Bangalore,Binnamangala Stage 1 Indiranagar,49.5
Bangalore,Binny Pete,51.0
Bangalore,Block 1st JayaNagar,50.0
Bangalore,Block 1st Koramangala,43.0
Bangalore,Block 2nd JayaNagar East,30.0
Bangalore,Block 2nd Koramangala,33.0
Bangalore,Block 3rd Jayanagar East,34.0
Bangalore,Block 3rd Koramangala,63.0
Bangalore,Block 3rd Narayana Nagar,20.0
Bangalore,Block 4th Jayanagar,30.5
Bangalore,Block 5th Jayanagar,58.5
Bangalore,Block 5th Koramangala,31.0
Bangalore,Block 6th Koramangala,37.0
Bangalore,Block 7th Jayanagar,38.0
Bangalore,Bommanahalli,34.0
Bangalore,Bommasandra,18.5
Bangalore,Bommasandra Jigani Link Road,29.0
Bangalore,Borewell Road,48.0
Bangalore,Brigade Metropolis,47.5
Bangalore,Brindavan Nagar Mathikere,25.0
Bangalore,Brookefield,41.0
Bangalore,Budigere,28.0
Bangalore,Budigere Road,15.0
Bangalore,Byatarayanapura New Extension,13.0
Bangalore,Byrappa Layout RMV 2nd Stage,17.0
Bangalore,Byrathi,13.0
Bangalore,C V Raman Nagar,31.0
Bangalore,CQAL Layout,32.0
Bangalore,Cambridge Layout,156.5
Bangalore,Canara bank Layout,23.0
Bangalore,Chamrajpet,30.0
Bangalore,Chamundeshwari Layout,158.0
Bangalore,Chandapura,21.0
Bangalore,Channasandra,34.5
Bangalore,Channasandra Main Road,23.0
Bangalore,Chennammana Kere,10.0
Bangalore,Chikkabanavara,22.5
Bangalore,Chikkabellandur,21.0
Bangalore,Chikkabidarakallu,11.0
Bangalore,Chikkagubbi Village,51.0
Bangalore,Chikkajala,25.0
Bangalore,Chikkakannalli,55.0
Bangalore,Chikkalasandra,20.0
